iter	Passed	Remaining
0	85	85580
1	102	50944
2	117	39055
3	133	33230
4	148	29649
5	164	27240
6	175	24938
7	184	22850
8	190	21018
9	197	19504
10	202	18250
11	208	17133
12	213	16179
13	217	15340
14	222	14599
15	226	13942
16	231	13368
17	235	12848
18	239	12381
19	244	11967
20	248	11597
21	253	11257
22	257	10938
23	261	10649
24	266	10386
25	270	10147
26	275	9924
27	279	9718
28	284	9524
29	288	9340
30	293	9172
31	298	9018
32	302	8863
33	306	8720
34	311	8585
35	315	8456
36	320	8335
37	324	8221
38	329	8112
39	333	8008
40	338	7913
41	342	7820
42	347	7732
43	351	7643
44	356	7561
45	360	7480
46	365	7405
47	369	7332
48	374	7259
49	378	7190
50	382	7123
51	387	7060
52	391	6997
53	396	6939
54	400	6881
55	405	6828
56	409	6773
57	413	6722
58	418	6674
59	422	6626
60	428	6588
61	432	6537
62	436	6490
63	440	6443
64	444	6395
65	449	6358
66	453	6316
67	457	6276
68	462	6237
69	466	6201
70	471	6165
71	475	6128
72	479	6092
73	483	6055
74	488	6024
75	492	5990
76	497	5959
77	501	5926
78	505	5895
79	509	5863
80	514	5832
81	518	5807
82	522	5777
83	527	5751
84	532	5727
85	536	5699
86	540	5674
87	545	5649
88	549	5622
89	553	5597
90	557	5571
91	561	5545
92	566	5523
93	570	5500
94	575	5480
95	579	5458
96	584	5439
97	588	5418
98	593	5398
99	597	5376
100	601	5356
101	606	5337
102	610	5316
103	614	5295
104	617	5261
105	621	5243
106	625	5223
107	630	5205
108	634	5185
109	638	5168
110	643	5150
111	647	5131
112	651	5111
113	655	5094
114	659	5077
115	664	5060
116	668	5043
117	670	5013
118	675	4998
119	679	4982
120	683	4966
121	688	4952
122	692	4939
123	697	4924
124	701	4910
125	705	4895
126	709	4880
127	714	4864
128	718	4849
129	722	4837
130	727	4823
131	731	4808
132	735	4793
133	739	4780
134	743	4766
135	747	4751
136	752	4738
137	756	4726
138	760	4713
139	765	4701
140	769	4689
141	773	4676
142	777	4662
143	782	4649
144	786	4637
145	791	4627
146	795	4615
147	799	4603
148	804	4592
149	808	4581
150	812	4569
151	816	4557
152	821	4545
153	825	4532
154	829	4522
155	833	4511
156	838	4499
157	842	4489
158	846	4477
159	850	4464
160	854	4454
161	859	4445
162	863	4434
163	867	4423
164	871	4412
165	875	4400
166	880	4390
167	884	4379
168	888	4369
169	893	4360
170	896	4348
171	901	4338
172	905	4327
173	909	4317
174	914	4309
175	918	4301
176	923	4294
177	928	4287
178	932	4279
179	937	4270
180	941	4260
181	945	4250
182	949	4240
183	953	4230
184	958	4220
185	962	4211
186	966	4202
187	971	4194
188	975	4186
189	979	4177
190	984	4168
191	988	4159
192	992	4149
193	996	4139
194	1000	4131
195	1004	4122
196	1009	4113
197	1013	4105
198	1017	4097
199	1022	4090
200	1026	4080
201	1030	4072
202	1035	4063
203	1039	4055
204	1043	4046
205	1047	4038
206	1052	4030
207	1056	4021
208	1060	4013
209	1064	4005
210	1069	3998
211	1073	3990
212	1077	3982
213	1082	3975
214	1086	3967
215	1090	3959
216	1095	3951
217	1099	3943
218	1103	3936
219	1108	3928
220	1112	3920
221	1116	3913
222	1121	3906
223	1125	3898
224	1129	3891
225	1134	3884
226	1138	3876
227	1142	3869
228	1146	3861
229	1151	3854
230	1155	3847
231	1159	3838
232	1163	3830
233	1167	3823
234	1172	3816
235	1176	3809
236	1181	3802
237	1185	3796
238	1190	3789
239	1194	3781
240	1198	3774
241	1202	3768
242	1207	3760
243	1211	3753
244	1215	3745
245	1219	3739
246	1224	3731
247	1228	3724
248	1232	3718
249	1237	3711
250	1241	3705
251	1245	3697
252	1250	3691
253	1254	3685
254	1258	3678
255	1263	3672
256	1267	3665
257	1271	3658
258	1276	3651
259	1280	3644
260	1285	3638
261	1289	3631
262	1293	3624
263	1297	3617
264	1301	3610
265	1306	3603
266	1310	3597
267	1314	3590
268	1318	3584
269	1323	3578
270	1327	3571
271	1332	3565
272	1336	3559
273	1340	3552
274	1344	3545
275	1349	3540
276	1353	3533
277	1357	3526
278	1362	3520
279	1366	3513
280	1370	3507
281	1375	3501
282	1379	3494
283	1383	3488
284	1387	3482
285	1392	3475
286	1396	3469
287	1400	3462
288	1405	3456
289	1409	3450
290	1413	3444
291	1417	3438
292	1421	3431
293	1426	3424
294	1430	3418
295	1434	3412
296	1439	3406
297	1443	3399
298	1447	3393
299	1451	3386
300	1455	3380
301	1459	3374
302	1464	3367
303	1468	3361
304	1472	3355
305	1476	3348
306	1480	3342
307	1485	3336
308	1489	3330
309	1493	3324
310	1497	3318
311	1502	3312
312	1506	3305
313	1510	3300
314	1514	3294
315	1519	3289
316	1523	3283
317	1528	3277
318	1532	3272
319	1537	3267
320	1541	3260
321	1545	3255
322	1550	3249
323	1554	3243
324	1558	3237
325	1562	3231
326	1567	3225
327	1571	3219
328	1575	3213
329	1580	3208
330	1584	3202
